price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,yr_built,yr_renovated
313000,3,1.5,1340,7912,1.5,3,1340,0,1955,2005
2384000,5,2.5,3650,9050,2,5,3370,280,1921,0
342000,3,2,1930,11947,1,4,1930,0,1966,0
420000,3,2.25,2000,8030,1,4,1000,1000,1963,0
550000,4,2.5,1940,10500,1,4,1140,800,1976,1992
490000,2,1,880,6380,1,3,880,0,1938,1994
335000,2,2,1350,2560,1,3,1350,0,1976,0
482000,4,2.5,2710,35868,2,3,2710,0,1989,0
452500,3,2.5,2430,88426,1,4,1570,860,1985,0
640000,4,2,1520,6200,1.5,3,1520,0,1945,2010
463000,3,1.75,1710,7320,1,3,1710,0,1948,1994
1400000,4,2.5,2920,4000,1.5,5,1910,1010,1909,1988
588500,3,1.75,2330,14892,1,3,1970,360,1980,0
365000,3,1,1090,6435,1,4,1090,0,1955,2009
1200000,5,2.75,2910,9480,1.5,3,2910,0,1939,1969
242500,3,1.5,1200,9720,1,4,1200,0,1965,0
419000,3,1.5,1570,6700,1,4,1570,0,1956,0
367500,4,3,3110,7231,2,3,3110,0,1997,0
257950,3,1.75,1370,5858,1,3,1370,0,1987,2000
275000,3,1.5,1180,10277,1,3,1180,0,1983,2009
750000,3,1.75,2240,10578,2,5,1550,690,1923,0
435000,4,1,1450,8800,1,4,1450,0,1954,1979
626000,3,2.25,1750,1572,2.5,3,1470,280,2005,0
612500,4,2.5,2730,12261,2,3,2730,0,1991,0
495000,4,1.75,1600,6380,1,3,1130,470,1959,1989
285000,3,2.5,2090,10834,1,4,1360,730,1987,0
615000,3,1.75,2360,7291,1,4,1360,1000,1948,0
698000,4,2.25,2200,11250,1.5,5,1300,900,1920,0
675000,5,2.5,2820,67518,2,3,2820,0,1979,2014
790000,3,2.5,2600,4750,1,4,1700,900,1951,1999
382500,4,1.75,1560,8700,1,4,1560,0,1967,0
499950,4,2.5,2860,3345,2,3,2190,670,2004,2003
650000,4,2,1820,5000,1.5,3,1640,180,1945,2010
625000,4,2.5,2820,8408,2,3,2820,0,2014,0
400000,4,2.5,3630,42884,1.5,3,2300,1330,1979,2014
604000,3,2.5,3240,33151,2,3,3240,0,1995,0
440000,2,1,800,4850,1,4,800,0,1944,0
287200,3,3,1850,19966,1,4,1090,760,1992,0
403000,3,2,1960,13100,1,5,1650,310,1957,0
750000,3,2.5,2390,6550,1,4,1440,950,1955,2009
335000,3,2.25,1580,16215,1,4,1580,0,1978,2000
260000,4,2,1480,8625,1,4,1480,0,1974,0
308500,2,1,850,6174,1,4,850,0,1950,1983
439950,3,2.5,1770,2875,2,3,1770,0,1990,2009
235000,2,1,1210,9400,1,2,1210,0,1949,0
315000,3,1,1160,9180,1,3,1160,0,1968,1997
437500,3,2.25,1970,35100,2,4,1970,0,1977,0
407500,3,2.5,1930,10460,2,3,1930,0,1996,0
445700,3,2.5,1270,1180,3,3,1270,0,2001,0
838000,4,2.5,3310,42998,2,3,3310,0,2001,0
630000,4,2.75,2710,37277,2,3,2710,0,2000,0
550000,3,1.75,2910,35200,1.5,3,2910,0,1979,2014
805000,3,2,2710,4500,1.5,4,1880,830,1929,0
284000,3,1.75,1800,23103,1,3,1800,0,1968,1997
470000,5,2.5,2210,9655,1,3,1460,750,1976,0
430000,4,1.5,1920,10000,1,4,1070,850,1954,1979
491500,4,1.75,2190,125452,1,3,2190,0,1968,1997
785000,5,3.25,3660,11995,2,3,3660,0,2006,0
385000,3,3.25,1320,1327,2,3,1040,280,2008,0
295000,2,2.5,1630,1368,2,3,1280,350,2009,0
555000,4,2.5,3310,6500,2,3,3310,0,2012,1912
459990,3,2.5,2680,5539,2,3,2680,0,2013,1923
625000,4,3.25,2730,54014,1,3,1560,1170,2007,0
300000,3,2.5,2540,5050,2,3,2540,0,2006,0
625000,4,2.75,2920,6605,2,3,2920,0,2012,1912
553000,2,1,900,5000,1,3,900,0,1944,0
379880,3,2.5,1650,14054,1,4,1130,520,1986,0
310000,3,1,1010,9945,1,4,1010,0,1973,0
775000,2,2.5,2680,7392,1,3,2680,0,2004,2003
365000,3,2.5,2200,7350,1,5,1570,630,1988,0
331950,4,2.5,2530,9933,2,3,2010,520,1990,2009
783500,3,2.5,2850,7130,2,3,1990,860,1980,0
628000,4,2,2280,6010,1,3,1140,1140,1900,2005
560000,3,2.5,1900,8744,2,3,1900,0,1987,2000
900000,3,1,1330,77972,1,3,1330,0,1928,1954
531000,2,3,1270,1175,2,3,1110,160,2000,0
831000,4,3,2170,4000,2,4,1610,560,1982,2011
780000,4,2.5,2730,10281,2,3,2730,0,1996,0
755000,4,2.5,2120,10202,1,4,1620,500,1960,2001
705380,3,2.5,2490,4343,2,3,2490,0,2003,0
627000,4,2.25,1990,7712,1,3,1210,780,1973,2013
865000,4,3,3690,9892,2,3,3690,0,1998,2006
580000,2,1,2540,7000,1,5,1320,1220,1942,0
410000,3,2.25,1800,36704,1,4,1360,440,1978,2000
485000,4,3,2340,7048,1,4,1340,1000,1979,0
400000,2,1.75,2110,9519,1,2,2110,0,1948,0
549000,2,1,1140,5400,1,5,1140,0,1908,0
620000,3,1.75,1480,2185,2.5,3,1480,0,2005,0
405000,2,3,1410,1240,2,3,1140,270,2006,0
232000,2,1,1200,8063,1,4,1200,0,1958,1972
800866,5,2.5,3180,13806,2,4,3180,0,1990,0
650000,3,1.5,2160,9000,1,4,1400,760,1949,1985
823000,6,1.75,2920,5000,2.5,4,2780,140,1908,0
770000,3,2,2350,5700,1.5,4,1810,540,1939,1989
524000,3,1.75,1560,5520,1,4,780,780,1944,0
541125,5,2.75,2740,8426,1,4,1370,1370,1960,2001
670000,3,2.5,1680,2000,3,3,1680,0,1909,1998
384900,5,2.5,3090,12750,1,3,1750,1340,1968,1997
406100,3,2.25,1410,1332,3,3,1410,0,2005,0
1395000,5,3.5,4010,8510,2,5,2850,1160,1971,0
736500,4,2.5,3180,21904,2,3,3180,0,2000,0
570000,3,2.25,2010,6000,1,3,1330,680,1975,0
787000,3,1.75,1330,7500,1,3,1330,0,1961,2004
328000,4,2.5,2370,6500,2,3,2370,0,1998,2006
435000,5,2,1840,9240,1,4,1540,300,1942,1958
499000,4,2.5,2910,6479,2,3,2910,0,2006,0
501000,4,1,2070,7519,1,3,1160,910,1963,2008
1090000,4,2.5,4340,141570,2.5,3,4340,0,1992,0
400000,2,1,840,5510,1,3,840,0,1955,2005
220000,4,1.5,1240,9600,1,3,1240,0,1971,0
657100,4,1,1390,4240,1,3,1050,340,1924,2011
309950,4,2.75,2310,5000,2,3,2310,0,2006,0
300000,3,2,1050,10072,1,3,1050,0,1986,0
525888,5,1.75,2550,71874,1,5,1810,740,1960,0
740000,4,1.75,2010,3600,1.5,3,2010,0,1902,0
340000,5,1,1120,9022,1.5,4,1120,0,1962,0
398750,3,2.5,2230,4000,2,3,2230,0,1954,2005
206000,2,1,810,7158,1,5,810,0,1944,0
1030000,5,2.75,3190,16920,1,3,1690,1500,1976,0
